planta_id;planta_nombre;capacidad;tipo_id;tipo_nombre;ubicacion_id;ubicacion_nombre
04d485c9-b567-42f3-8d69-209a5bc0dbc3;Caracolí;2.6;2e17feeb-82e9-4c6f-b0c5-6674b6f1dd31;Hidroeléctrica;ea35c204-121f-4b9c-99cb-4366654ae04d;CARACOLÍ, ANTIOQUIA
b953b9c9-74cc-4f7f-96db-70cf78663860;Celsia Solar Yuma;9.9;1ac6466a-a4a0-454f-aeb8-a174af3c01aa;Solar Fotovoltáica;5bee91b1-ce40-45ec-8d46-c935027146e3;FLANDES, TOLIMA
ba981943-f867-451f-83db-adf97faf6f9f;Central Hidroeléctrica Del Guavio;1250;2e17feeb-82e9-4c6f-b0c5-6674b6f1dd31;Hidroeléctrica;7bb07fb7-956d-4fe2-8de9-575729e9d5b3;UBALÁ, CUNDINAMARCA
5da122ac-55e4-4672-8cf1-f3c8f5e56030;Central Hidroeléctrica Hidromontañitas;19.9;2e17feeb-82e9-4c6f-b0c5-6674b6f1dd31;Hidroeléctrica;5d6c9f98-8736-44f5-8ff3-6d813183df00;SANTA ROSA DE OSOS, ANTIOQUIA
2de3b892-c71a-41eb-9618-415468124564;Termobarranquilla;918;22badb43-410b-48a8-b176-69d199727b00;Termoeléctrica por Combustibles Fósiles;0f5a8a62-bf32-4af2-8982-3d23dafa0ae3;BARRANQUILLA, ATLÁNTICO
41fc7f3c-d39d-419a-af39-787649aee230;Termoguajira;290;8b00c210-3acf-4e04-b09b-d75d8854e4bf;Termoeléctrica Con Carbón;2e8068d9-0606-4dbc-b0d1-0ffeb0b2f55b;DIBULLA, LA GUAJIRA
