id;codigo_departamento;codigo_municipio;nombre_departamento;nombre_municipio;iso_departamento
144511ca-2ccc-4544-9a7c-e20eeee74c24;05;05148000;ANTIOQUIA;EL CARMEN DE VIBORAL;CO-ANT
9884330e-4ca9-4b20-a36d-abeeee878ff3;05;05697000;ANTIOQUIA;EL SANTUARIO;CO-ANT
44b1642e-1f19-469a-b693-a2419c9b6401;05;05264000;ANTIOQUIA;ENTRERRÍOS;CO-ANT
8dfdf8f3-ba10-44a8-a740-66972146da67;05;05266000;ANTIOQUIA;ENVIGADO;CO-ANT
54daf13a-8354-4185-b611-ae98aee20817;05;05282000;ANTIOQUIA;FREDONIA;CO-ANT
109e27bc-2ccf-4200-bf3c-12e81036e53e;05;05284000;ANTIOQUIA;FRONTINO;CO-ANT
30fe0852-1182-4659-9d33-ae8767476fa5;05;05306000;ANTIOQUIA;GIRALDO;CO-ANT
5d8fe062-1c5a-4479-9786-c85e68c3264d;05;05308000;ANTIOQUIA;GIRARDOTA;CO-ANT
32fe7dda-af32-40eb-bcd8-79e251534d17;05;05310000;ANTIOQUIA;GÓMEZ PLATA;CO-ANT
7ef5fbb7-13f3-4c68-8730-1e61f0cdc8db;05;05313000;ANTIOQUIA;GRANADA;CO-ANT
451cb175-de2a-4ff6-ba74-a48270ba1bd8;05;05315000;ANTIOQUIA;GUADALUPE;CO-ANT
f87936b6-3dc8-4117-a01a-2a060ea23a86;05;05318000;ANTIOQUIA;GUARNE;CO-ANT
47a0f359-10af-41e6-b0f8-716b3077c256;05;05321000;ANTIOQUIA;GUATAPÉ;CO-ANT
072ec05e-6d74-44f3-8f30-de956ef2013a;05;05347000;ANTIOQUIA;HELICONIA;CO-ANT
7ae13561-505b-47d2-be4f-f56355835e02;05;05353000;ANTIOQUIA;HISPANIA;CO-ANT
83dd02a0-3c99-4270-916e-a170716ac764;05;05360000;ANTIOQUIA;ITAGÜÍ;CO-ANT
078e6af2-283c-45ea-bb0e-2b250e093d65;05;05361000;ANTIOQUIA;ITUANGO;CO-ANT
a97e2719-db1d-4557-a455-5e92d8b943cb;05;05364000;ANTIOQUIA;JARDÍN;CO-ANT
7babd037-4625-4a4a-8c5b-0a0e9975eec9;05;05368000;ANTIOQUIA;JERICÓ;CO-ANT
d5afd003-a52f-4e96-b1ba-5ffe18264938;05;05376000;ANTIOQUIA;LA CEJA;CO-ANT
b6147e5a-1b25-4a7d-9d06-da5c6092c6a0;05;05380000;ANTIOQUIA;LA ESTRELLA;CO-ANT
85fbb923-8902-4960-8902-35b67dd8771c;05;05390000;ANTIOQUIA;LA PINTADA;CO-ANT
65e75ed8-a75c-4c0e-9d92-2f85cd4ad001;05;05400000;ANTIOQUIA;LA UNIÓN;CO-ANT
e0c0fc6c-813f-4c2f-a918-d012ffd91853;05;05411000;ANTIOQUIA;LIBORINA;CO-ANT
9d0f8fb1-d9a7-4bf1-8770-8c6a2363a312;05;05425000;ANTIOQUIA;MACEO;CO-ANT
87547aa4-4a18-411f-955a-247901a9d04e;05;05440000;ANTIOQUIA;MARINILLA;CO-ANT
c70f203a-449b-400b-947f-ef4e6501122c;05;05001000;ANTIOQUIA;MEDELLÍN;CO-ANT
a794db22-5cfb-4c0a-9a3a-4ef49c105714;05;05467000;ANTIOQUIA;MONTEBELLO;CO-ANT
6e1aa216-9198-4c6e-8d78-956b4c46d412;05;05475000;ANTIOQUIA;MURINDÓ;CO-ANT
6714c261-142e-45c4-a931-2fdf1333ed65;05;05480000;ANTIOQUIA;MUTATÁ;CO-ANT
9d8ff4bd-4192-4861-a8a3-da22cd383131;05;05483000;ANTIOQUIA;NARIÑO;CO-ANT
d934548f-3538-4946-ac2b-f128adffcfd6;05;05495000;ANTIOQUIA;NECHÍ;CO-ANT
72067022-fca0-4903-9360-5fb045a63387;05;05490000;ANTIOQUIA;NECOCLÍ;CO-ANT
a43ef444-111f-4975-9d43-41337d2e88f1;05;05501000;ANTIOQUIA;OLAYA;CO-ANT
54c35b03-3dc1-47ed-8751-c7d89bcc2f2b;05;05541000;ANTIOQUIA;PEÑOL;CO-ANT
